player,elo,hard_elo,clay_elo,grass_elo,52_swon,52_svpt,52_rwon,52_rpt,52_s_pct,52_r_pct,52_s_pct_EM,52_r_pct_EM
Kyle Edmund,2016.38735705,1953.44778278,1763.60510407,1406.180322,3218.0,4898.0,1792.0,4894.0,0.65700285831,0.366162648141,0.656538913001,0.366005260594
Fabio Fognini,2004.28726128,1924.46374963,1888.61255438,1672.49854701,3099.0,5092.0,1937.0,4918.0,0.608601728201,0.393859292395,0.608573515861,0.393439571157
Lucas Pouille,1995.42527204,1914.67705743,1853.09522982,1734.23421754,2835.0,4299.0,1619.0,4380.0,0.659455687369,0.369634703196,0.658913205027,0.36942205318
Jack Sock,1991.96797521,1930.31523751,1863.3396271,1632.9741504,2421.0,3792.0,1400.0,3897.0,0.638449367089,0.359250705671,0.638077278438,0.359136187823
John Isner,1989.36944191,1908.34413632,1872.72028909,1799.63004242,3407.0,4716.0,1310.0,4631.0,0.722434266327,0.282876268624,0.721322235799,0.283549718501
Diego Sebastian,1985.18776052,1893.37448853,1833.77558606,1293.26098932,2985.0,4963.0,2208.0,5187.0,0.601450735442,0.425679583574,0.601484726134,0.424994701909
Damir Dzumhur,1985.17426219,1930.15009874,1602.15339724,1548.55214702,2704.0,4489.0,1886.0,4554.0,0.60236132769,0.414141414141,0.60239119639,0.413480584129
Andrey Rublev,1978.81707747,1896.61117811,1696.17318594,1558.08133259,2226.0,3649.0,1445.0,3618.0,0.610030145245,0.399391929243,0.609974584674,0.398752140563
Kevin Anderson,1975.29101352,1857.24895919,1891.48387301,1787.85359518,3223.0,4577.0,1675.0,4790.0,0.704173039109,0.349686847599,0.70326546324,0.349686723643
Philipp Kohlschreiber,1968.16596561,1840.26660879,1948.42584067,1785.89111877,1920.0,2962.0,1096.0,3010.0,0.648210668467,0.364119601329,0.647588492058,0.363896741945
David Ferrer,1966.70961508,1901.7999804,2015.99994954,1684.4528389,2211.0,3608.0,1495.0,3726.0,0.612804878049,0.401234567901,0.612718201469,0.4005900589
Gilles Muller,1966.17488888,1812.17932111,1713.82330283,1901.27207022,2656.0,3824.0,1263.0,3893.0,0.694560669456,0.324428461341,0.693554837423,0.324730658779
Alexandr Dolgopolov,1949.37999519,1847.08292396,1881.71450455,1677.76218893,1861.0,2888.0,1033.0,2822.0,0.644390581717,0.366052445074,0.643786829818,0.365783209896
Sam Querrey,1945.70085111,1819.53052745,1748.37456028,1860.8367035,2783.0,4079.0,1473.0,4182.0,0.682275067418,0.352223816356,0.681467206372,0.352195381598
Mirza Basic,1940.71636889,1895.6543333,1385.33380462,1508.5050512,610.0,907.0,308.0,879.0,0.672546857773,0.35039817975,0.66931762855,0.350361307855
Feliciano Lopez,1931.78244203,1769.18353111,1831.07438756,1904.48738759,2592.0,3877.0,1286.0,3888.0,0.668558163529,0.330761316872,0.667844933276,0.330987995994
Adrian Mannarino,1928.57183875,1821.49818032,1617.64317372,1724.12163636,3057.0,4841.0,1927.0,4940.0,0.631481098946,0.39008097166,0.631249003817,0.38969883444
Daniil Medvedev,1919.11542678,1805.16989224,1473.49960887,1755.29287252,1834.0,2907.0,1027.0,2849.0,0.630890952872,0.360477360477,0.630500194897,0.360301427043
Marcos Baghdatis,1917.49952452,1854.4963224,1614.5054399,1717.38709185,1487.0,2329.0,863.0,2330.0,0.638471446973,0.370386266094,0.637853387429,0.369975321093
Peter Gojowczyk,1906.19893685,1842.01506385,1402.97019227,1602.17073561,1499.0,2364.0,897.0,2352.0,0.634094754653,0.38137755102,0.633563539344,0.380754298298
Gilles Simon,1903.14364053,1866.82441532,1778.34377619,1689.0008485,1787.0,3023.0,1136.0,2880.0,0.591134634469,0.394444444444,0.591352219306,0.393723069377
Pablo Carreno,1902.15127966,1750.44834565,1952.11676472,1392.32799339,2512.0,4046.0,1458.0,3849.0,0.620860108749,0.378799688231,0.620684218157,0.378447110342
Fernando Verdasco,1896.85827669,1796.07916644,1874.64900969,1675.98267045,2416.0,3745.0,1523.0,3948.0,0.645126835781,0.385764944276,0.644685165573,0.385338875087
Ryan Harrison,1894.07304787,1833.41067,1563.70087949,1451.42161755,2063.0,3286.0,1084.0,3213.0,0.627814972611,0.337379396203,0.627509848153,0.337557264255
Tommy Haas,1888.30664978,1846.17451175,1831.87139295,1767.73183822,958.0,1515.0,461.0,1451.0,0.632343234323,0.317711922812,0.631544018786,0.31871814859
Yoshihito Nishioka,1887.8936477,1822.56935286,1495.04667515,1396.13246407,375.0,634.0,261.0,631.0,0.591482649842,0.413629160063,0.59240181843,0.409181233348
Nicolas Almagro,1887.62789703,1756.82652319,1903.76369676,1615.82867885,737.0,1148.0,443.0,1175.0,0.641986062718,0.377021276596,0.640654510902,0.375965917226
Borna Coric,1882.7573539,1759.15151817,1828.3896347,1406.68797494,2311.0,3542.0,1270.0,3582.0,0.652456239413,0.35455053043,0.651880166688,0.354487156528
Karen Khachanov,1881.75315944,1720.40001904,1844.06438025,1703.62342609,2819.0,4431.0,1615.0,4390.0,0.636199503498,0.367881548975,0.635891331277,0.367688013351
Julien Benneteau,1879.5993121,1817.9278172,1617.63622898,1613.25240545,1365.0,2172.0,823.0,2235.0,0.628453038674,0.368232662192,0.628004558997,0.367849118617
Juan Monaco,1878.76622208,1742.50425268,1873.79462533,1583.56710133,126.0,228.0,93.0,252.0,0.552631578947,0.369047619048,0.560550650102,0.365993292864
Leonardo Mayer,1878.56343747,1743.07994963,1869.41207441,1597.02031571,1119.0,1700.0,675.0,1852.0,0.658235294118,0.364470842333,0.656998272327,0.36410337339
Benoit Paire,1871.71146281,1772.75009705,1762.56875579,1659.90901275,2814.0,4563.0,1657.0,4401.0,0.616699539776,0.376505339696,0.616587086301,0.376220842813
Albert Ramos,1869.24036353,1700.52377262,1896.86429166,1580.13047705,3287.0,5223.0,1955.0,5262.0,0.629331801647,0.371531736982,0.629131791873,0.371337561445
Steve Darcis,1865.96446385,1772.47258548,1735.93183698,1650.10487584,1156.0,1939.0,628.0,1795.0,0.596183599794,0.349860724234,0.596407534701,0.349855946997
